uid,plant_name,country,products,plant_type,owner_name,parent_name
PLASTIC-2745378b,alpha,USA,"['Acrylonitrile Butadiene Styrene', 'High-Density Polyethylene', 'Low-Density Polyethylene', 'Melamine Formaldehyde', 'Polyamide 6', 'Polyamide 66', 'Polybutylene Terephthalate', 'Polycarbonate', 'Polyethylene', 'Polyether Ether Ketone', 'Polyetherimide', 'Polyethylene Terephthalate', 'Polylactic Acid', 'Polymethyl Methacrylate', 'Polyoxymethylene', 'Polypropylene', 'Polyphenylene Oxide', 'Unknown Polymer (PPS)', 'Polystyrene', 'Polytetrafluoroethylene', 'Polyvinyl Chloride', 'Unknown Polymer (Polyimide)', 'Styrene Acrylonitrile', 'Unknown Polymer (Silicone)']",Polymer Manufacturing Plant,Alpha Holdings,Alpha Global
PLASTIC-19749e1e,basf,Germany,"['Acrylonitrile Butadiene Styrene', 'High-Density Polyethylene', 'Low-Density Polyethylene', 'Polyamide 6', 'Polybutylene Terephthalate', 'Polycarbonate', 'Polyethylene Terephthalate', 'Polymethyl Methacrylate', 'Polypropylene', 'Polyphenylene Oxide', 'Unknown Polymer (PPS)', 'Polystyrene', 'Polyvinyl Chloride', 'Styrene Acrylonitrile', 'Unknown Polymer (UHMWPE)']",Integrated Chemical & Polymer Plant,BASF SE,BASF Group
PLASTIC-94ef637b,beta supplies,Germany,"['Acrylonitrile Butadiene Styrene', 'Ethylene Vinyl Acetate', 'Epoxy Resin', 'High-Density Polyethylene', 'Liquid Crystal Polymer', 'Low-Density Polyethylene', 'Melamine Formaldehyde', 'Polyamide 6', 'Polyamide 66', 'Polybutylene Terephthalate', 'Polycarbonate', 'Polyether Ether Ketone', 'Polyethylene Terephthalate', 'Unknown Polymer (PF)', 'Polylactic Acid', 'Polymethyl Methacrylate', 'Polyoxymethylene', 'Polypropylene', 'Polyphenylene Oxide', 'Unknown Polymer (PPS)', 'Polystyrene', 'Polytetrafluoroethylene', 'Unknown Polymer (PUR)', 'Polyvinyl Chloride', 'Styrene Acrylonitrile', 'Unknown Polymer (Silicone)', 'Unknown Polymer (UHMWPE)']",Plastic Compounding Plant,Beta Materials,Beta Group
PLASTIC-8d2f28db,braskem,Brazil,"['Acrylonitrile Butadiene Styrene', 'Ethylene Vinyl Acetate', 'High-Density Polyethylene', 'Liquid Crystal Polymer', 'Low-Density Polyethylene', 'Polyamide 6', 'Polyamide 66', 'Polycarbonate', 'Polyetherimide', 'Polyethylene Terephthalate', 'Unknown Polymer (PF)', 'Polylactic Acid', 'Polymethyl Methacrylate', 'Polypropylene', 'Unknown Polymer (PPS)', 'Polystyrene', 'Polytetrafluoroethylene', 'Polyvinyl Chloride', 'Unknown Polymer (Silicone)']",Petrochemical Polymer Plant,Braskem S.A.,Odebrecht Group
PLASTIC-d3af0ed4,chevron phillips,USA,"['Acrylonitrile Butadiene Styrene', 'High-Density Polyethylene', 'Liquid Crystal Polymer', 'Low-Density Polyethylene', 'Polyether Ether Ketone', 'Polyethylene Terephthalate', 'Polymethyl Methacrylate', 'Polyoxymethylene', 'Polypropylene', 'Unknown Polymer (PPS)', 'Polystyrene', 'Polyvinyl Chloride']",Polyolefin Manufacturing Plant,Chevron Phillips Chemical,Chevron Corporation
PLASTIC-9896f767,delta logistics,India,"['Acrylonitrile Butadiene Styrene', 'High-Density Polyethylene', 'Liquid Crystal Polymer', 'Low-Density Polyethylene', 'Polyamide 6', 'Polyamide 66', 'Polybutylene Terephthalate', 'Polycarbonate', 'Polyethylene Terephthalate', 'Polymethyl Methacrylate', 'Polyoxymethylene', 'Polypropylene', 'Polyphenylene Oxide', 'Unknown Polymer (PPS)', 'Polystyrene', 'Polytetrafluoroethylene', 'Unknown Polymer (PUR)', 'Polyvinyl Chloride', 'Styrene Acrylonitrile', 'Unknown Polymer (Silicone)', 'Unknown Polymer (UHMWPE)']",Plastic Distribution Hub,Delta Supply Chain,Delta Corp
PLASTIC-6e6083df,dow chemical,USA,"['Acrylonitrile Butadiene Styrene', 'High-Density Polyethylene', 'Low-Density Polyethylene', 'Polyamide 6', 'Polyamide 66', 'Polybutylene Terephthalate', 'Polycarbonate', 'Polyethylene Terephthalate', 'Polymethyl Methacrylate', 'Polypropylene', 'Polystyrene', 'Polytetrafluoroethylene', 'Polyvinyl Chloride', 'Styrene Acrylonitrile', 'Unknown Polymer (UHMWPE)']",Advanced Polymer Manufacturing Plant,Dow Chemical Company,Dow Inc.
PLASTIC-7b1a2f9b,epsilon,Brazil,"['Acrylonitrile Butadiene Styrene', 'Ethylene Vinyl Acetate', 'High-Density Polyethylene', 'Liquid Crystal Polymer', 'Low-Density Polyethylene', 'Melamine Formaldehyde', 'Polyamide 6', 'Polyamide 66', 'Polybutylene Terephthalate', 'Polycarbonate', 'Polyetherimide', 'Polyethylene Terephthalate', 'Polymethyl Methacrylate', 'Polyoxymethylene', 'Polypropylene', 'Polyphenylene Oxide', 'Unknown Polymer (PPS)', 'Polystyrene', 'Polytetrafluoroethylene', 'Polyvinyl Chloride', 'Unknown Polymer (Polyimide)', 'Styrene Acrylonitrile', 'Unknown Polymer (UHMWPE)']",Specialty Polymer Manufacturing Plant,Epsilon Chemicals,Epsilon Industries
PLASTIC-b165a399,exxonmobil chemical,USA,"['Acrylonitrile Butadiene Styrene', 'Ethylene Vinyl Acetate', 'High-Density Polyethylene', 'Low-Density Polyethylene', 'Melamine Formaldehyde', 'Polyamide 6', 'Polyamide 66', 'Polybutylene Terephthalate', 'Polycarbonate', 'Polyethylene Terephthalate', 'Polymethyl Methacrylate', 'Polyoxymethylene', 'Polypropylene', 'Polyphenylene Oxide', 'Polystyrene', 'Polytetrafluoroethylene', 'Polyvinyl Chloride', 'Styrene Acrylonitrile']",Petrochemical Polymer Plant,ExxonMobil Chemical,ExxonMobil
PLASTIC-15ed4bfa,formosa plastics,Taiwan,"['Acrylonitrile Butadiene Styrene', 'Ethylene Vinyl Acetate', 'Epoxy Resin', 'High-Density Polyethylene', 'Low-Density Polyethylene', 'Melamine Formaldehyde', 'Polyamide 6', 'Polyamide 66', 'Polybutylene Terephthalate', 'Polycarbonate', 'Polyetherimide', 'Polyethylene Terephthalate', 'Polymethyl Methacrylate', 'Polyoxymethylene', 'Polypropylene', 'Polyphenylene Oxide', 'Polystyrene', 'Polytetrafluoroethylene', 'Polyvinyl Chloride', 'Unknown Polymer (Polyimide)', 'Styrene Acrylonitrile', 'Unknown Polymer (Silicone)']",Integrated Plastic Processing Plant,Formosa Plastics Corp,Formosa Group
